"","state_county","trump","biden","others"
"111","arkansas,hempstead",4470,2138,240
"112","arkansas,hot spring",9202,3082,273
"113","arkansas,howard",3367,1340,127
"114","arkansas,independence",11250,2806,456
"115","arkansas,izard",4631,1021,158
"116","arkansas,jackson",3593,1365,133
"117","arkansas,jefferson",9521,14981,656
"118","arkansas,johnson",6938,2283,277
"119","arkansas,lafayette",1757,839,83
"120","arkansas,lawrence",4569,1080,208
"121","arkansas,lee",1286,1423,139
"122","arkansas,lincoln",2729,1032,114
"123","arkansas,little river",3715,1226,236
"124","arkansas,logan",6441,1544,240
"125","arkansas,lonoke",22884,6686,1092
"126","arkansas,madison",5658,1563,130
"127","arkansas,marion",5783,1531,189
"128","arkansas,miller",11920,4245,364
"129","arkansas,mississippi",7296,4558,488
"130","arkansas,monroe",1545,1147,124
"131","arkansas,montgomery",3046,731,96
"132","arkansas,nevada",2133,1076,149
"133","arkansas,newton",3192,709,97
"134","arkansas,ouachita",5294,3995,340
"135","arkansas,perry",3479,1012,136
"136","arkansas,phillips",2417,3623,202
"137","arkansas,pike",3519,644,83
"138","arkansas,poinsett",5918,1424,179
"139","arkansas,polk",7035,1246,209
"140","arkansas,pope",18081,5772,579
"141","arkansas,prairie",2786,654,55
"142","arkansas,pulaski",63687,101947,4322
"143","arkansas,randolph",5355,1215,242
"144","arkansas,saint francis",3242,3604,262
"145","arkansas,saline",39556,16060,1343
"146","arkansas,scott",2962,483,106
"147","arkansas,searcy",3365,588,66
"148","arkansas,sebastian",31198,14487,1455
"149","arkansas,sevier",3884,1116,202
"150","arkansas,sharp",5938,1398,230
"151","arkansas,stone",4616,1180,142
"152","arkansas,union",10478,5584,545
"153","arkansas,van buren",6034,1593,180
"154","arkansas,washington",47504,43824,2938
"155","arkansas,white",24182,5978,725
"156","arkansas,woodruff",1543,856,77
"157","arkansas,yell",5226,1284,231
"158","california,alameda",136309,617659,15896
"159","california,alpine",244,476,26
"160","california,amador",13585,8153,640
"161","california,butte",48730,50426,2886
"162","california,calaveras",16518,10046,600
"163","california,colusa",4554,3234,163
"164","california,contra costa",152877,416386,11993
"165","california,del norte",6461,4677,314
"166","california,el dorado",61838,51621,2737
"167","california,fresno",164464,193025,7561
"168","california,glenn",7063,3995,235
"169","california,humboldt",21770,44768,2290
"170","california,imperial",20847,34678,1217
"171","california,inyo",4620,4634,227
"172","california,kern",164484,133366,7376
"173","california,kings",24072,18699,1089
"174","california,lake",13123,14941,736
"175","california,lassen",8970,2799,216
"176","california,los angeles",1145530,3028885,100411
"177","california,madera",29378,23168,1176
"178","california,marin",24612,128288,2901
"179","california,mariposa",5950,4088,242
"180","california,mendocino",13267,28782,1287
"181","california,merced",39397,48991,2153
"182","california,modoc",3109,1150,79
"183","california,mono",2513,4013,212
"184","california,monterey",46299,113953,3650
"185","california,napa",20676,49817,1629
"186","california,nevada",26779,36359,1603
"187","california,orange",676498,814009,31218
"188","california,placer",122488,106869,5660
"189","california,plumas",6445,4561,253
"190","california,riverside",448702,527945,19509
"191","california,sacramento",259405,440808,18112
"192","california,san benito",10590,17628,608
"193","california,san bernardino",366257,455859,18815
"194","california,san diego",600094,964650,37137
"195","california,san francisco",56417,378156,8885
"196","california,san joaquin",121098,161137,6208
"197","california,san luis obispo",67436,88310,3955
"198","california,san mateo",75563,291410,7165
"199","california,santa barbara",65736,129963,4589
"200","california,santa clara",214612,617967,17943
"201","california,santa cruz",26937,114246,3613
"202","california,shasta",60789,30000,2111
"203","california,sierra",1142,730,58
"204","california,siskiyou",13290,9593,567
"205","california,solano",69306,131639,4886
"206","california,sonoma",61825,199938,6489
"207","california,stanislaus",104145,105841,5520
"208","california,sutter",24375,17367,898
"209","california,tehama",19141,8911,669
"210","california,trinity",3188,2851,219
"211","california,tulare",77579,66105,3148
"212","california,tuolumne",17689,11978,734
"213","california,ventura",162207,251388,9174
"214","california,yolo",27292,67598,2374
"215","california,yuba",17676,11230,881
"216","colorado,adams",95657,134202,6876
"217","colorado,alamosa",3813,3759,236
"218","colorado,arapahoe",127323,213607,9253
"219","colorado,archuleta",5189,3738,217
"220","colorado,baca",1867,317,41
"221","colorado,bent",1503,732,39
"222","colorado,boulder",42501,159089,4521
"223","colorado,chaffee",6222,7160,335
"224","colorado,cheyenne",993,131,12
"225","colorado,clear creek",2754,3604,190
"226","colorado,conejos",2286,1959,88
"227","colorado,costilla",741,1311,42
"228","colorado,crowley",1271,437,42
"229","colorado,custer",2474,1112,49
"230","colorado,delta",13081,5887,402
"231","colorado,denver",71618,313293,8916
"232","colorado,dolores",1089,341,19
"233","colorado,douglas",121270,104653,5676
"234","colorado,eagle",9892,18588,660
"235","colorado,elbert",14027,4490,466
"236","colorado,el paso",202828,161941,14080
"237","colorado,fremont",17517,7369,671
"238","colorado,garfield",14717,15427,760
"239","colorado,gilpin",1833,2223,130
"240","colorado,grand",4883,4710,277
"241","colorado,gunnison",3735,7132,323
"242","colorado,hinsdale",353,255,24
"243","colorado,huerfano",2203,2076,127
"244","colorado,jackson",681,175,20
"245","colorado,jefferson",148417,218396,10544
"246","colorado,kiowa",795,98,10
"247","colorado,kit carson",3144,662,65
"248","colorado,lake",1497,2303,161
"249","colorado,la plata",14233,20548,886
"250","colorado,larimer",91489,126120,6729
"251","colorado,las animas",4284,3497,180
"252","colorado,lincoln",2135,470,46
"253","colorado,logan",8087,2218,227
"254","colorado,mesa",56894,31536,2192
"255","colorado,mineral99.9% in",427,317,12
"256","colorado,moffat",5670,1203,153
"257","colorado,montezuma",9306,5836,358
"258","colorado,montrose",16770,7687,465
"259","colorado,morgan",9593,3876,275
"260","colorado,otero",5756,3605,215
"261","colorado,ouray",1577,2365,78
"262","colorado,park",6991,4903,396
"263","colorado,phillips",1958,486,41
"264","colorado,pitkin",2780,8989,188
"265","colorado,prowers",4008,1458,95
"266","colorado,pueblo",42252,43772,2275
"267","colorado,rio blanco",3061,561,69
"268","colorado,rio grande",3660,2495,150
"269","colorado,routt",5925,10582,369
"270","colorado,saguache",1413,1884,92
"271","colorado,san juan",202,342,19
"272","colorado,san miguel",1136,3924,87
"273","colorado,sedgwick",1121,301,24
"274","colorado,summit",5322,12631,526
"275","colorado,teller",11241,5278,420
"276","colorado,washington",2595,369,44
"277","colorado,weld",96145,66060,4763
"278","colorado,yuma",4107,785,89
"279","colorado,broomfield",16295,29077,1260
"280","connecticut,andover",998,1058,35
"281","connecticut,ansonia",3797,4521,101
"282","connecticut,ashford",1160,1330,54
"283","connecticut,avon",4469,7299,219
"284","connecticut,barkhamsted",1228,1154,60
"285","connecticut,beacon falls",2191,1543,69
"286","connecticut,berlin",6687,6008,178
"287","connecticut,bethany",1718,1912,68
"288","connecticut,bethel",4734,6270,168
"289","connecticut,bethlehem",1393,937,37
"290","connecticut,bloomfield",1698,11007,116
"291","connecticut,bolton",1482,1727,79
"292","connecticut,bozrah",817,703,28
"293","connecticut,branford",7098,10562,253
"294","connecticut,bridgeport",8269,33515,404
"295","connecticut,bridgewater",549,667,17
"296","connecticut,bristol",13834,15462,503
"297","connecticut,brookfield",5226,5426,155
"298","connecticut,brooklyn",2262,1876,84
"299","connecticut,burlington",3034,3099,100
"300","connecticut,canaan",209,437,9
"301","connecticut,canterbury",1755,1182,75
"302","connecticut,canton",2663,3878,122
"303","connecticut,chaplin",662,598,30
"304","connecticut,cheshire",7349,9745,324
"305","connecticut,chester",853,1701,42
"306","connecticut,clinton",3312,4368,124
"307","connecticut,colchester",4243,5216,232
"308","connecticut,colebrook",563,403,22
"309","connecticut,columbia",1600,1888,80
"310","connecticut,cornwall",250,760,22
"311","connecticut,coventry",3545,4011,216
"312","connecticut,cromwell",3749,4872,162
"313","connecticut,danbury",12788,18869,364
"314","connecticut,darien",4921,7876,221
"315","connecticut,deep river",1076,1785,41
"316","connecticut,derby",2749,2963,66
"317","connecticut,durham",2330,2363,89
"318","connecticut,eastford",572,464,31
"319","connecticut,east granby",1405,1789,70
"320","connecticut,east haddam",2731,2980,114
"321","connecticut,east hampton",3746,4051,191
"322","connecticut,east hartford",5524,14787,296
"323","connecticut,east haven",7572,6757,172
"324","connecticut,east lyme",4285,7290,181
"325","connecticut,easton",2178,2777,68
"326","connecticut,east windsor",2541,3008,103
"327","connecticut,ellington",4515,4787,189
"328","connecticut,enfield",9298,11263,368
"329","connecticut,essex",1635,3011,69
"330","connecticut,fairfield",12052,22861,501
"331","connecticut,farmington",6160,9616,261
"332","connecticut,franklin",674,553,34
"333","connecticut,glastonbury",7998,13990,386
"334","connecticut,goshen",1161,902,37
"335","connecticut,granby",3166,4029,178
"336","connecticut,greenwich",13269,22243,600
"337","connecticut,griswold",3257,2565,159
"338","connecticut,groton",6272,10699,418
"339","connecticut,guilford",5050,9616,201
"340","connecticut,haddam",2693,2728,96
"341","connecticut,hamden",7139,21652,313
"342","connecticut,hampton",551,572,16
"343","connecticut,hartford",4116,28301,270
"344","connecticut,hartland",818,457,17
"345","connecticut,harwinton",2229,1397,75
"346","connecticut,hebron",2731,3388,147
"347","connecticut,kent",568,1277,20
"348","connecticut,killingly",4678,3402,203
"349","connecticut,killingworth",1979,2343,65
"350","connecticut,lebanon",2268,2052,118
"351","connecticut,ledyard",3664,4534,229
"352","connecticut,lisbon",1331,1099,60
"353","connecticut,litchfield",2555,2673,114
"354","connecticut,lyme",576,1165,31
"355","connecticut,madison",4638,7625,174
"356","connecticut,manchester",8530,19455,481
"357","connecticut,mansfield",1708,5608,169
"358","connecticut,marlborough",1861,2119,82
"359","connecticut,meriden",9981,14955,390
"360","connecticut,middlebury",2741,2259,78
"361","connecticut,middlefield",1356,1442,55
"362","connecticut,middletown",7611,15508,390
"363","connecticut,milford",13997,17626,439
"364","connecticut,monroe",5989,5838,175
"365","connecticut,montville",4242,4406,225
"366","connecticut,morris",874,653,34
"367","connecticut,naugatuck",7740,6923,241
"368","connecticut,new britain",7724,16031,316
"369","connecticut,new canaan",4855,7298,212
"370","connecticut,new fairfield",4343,4101,114
"371","connecticut,new hartford",2382,2089,106
"372","connecticut,new haven",6146,35521,435
"373","connecticut,newington",7074,10031,250
"374","connecticut,new london",2045,6912,166
"375","connecticut,new milford",7493,8004,237
"376","connecticut,newtown",7292,9695,282
"377","connecticut,norfolk",381,659,20
"378","connecticut,north branford",4786,3718,127
"379","connecticut,north canaan",812,862,31
"380","connecticut,north haven",7879,7389,173
"381","connecticut,north stonington",1710,1601,64
"382","connecticut,norwalk",13311,29382,526
"383","connecticut,norwich",5643,9306,341
"384","connecticut,old lyme",2099,3226,88
"385","connecticut,old saybrook",2995,4253,95
"386","connecticut,orange",4317,4816,120
"387","connecticut,oxford",5118,3269,127
"388","connecticut,plainfield",4080,2849,157
"389","connecticut,plainville",4811,4670,166
"390","connecticut,plymouth",3984,2477,132
"391","connecticut,pomfret",1113,1357,54
"392","connecticut,portland",2641,3155,92
"393","connecticut,preston",1529,1270,69
"394","connecticut,prospect",3935,2110,66
"395","connecticut,putnam",2193,2063,94
"396","connecticut,redding",2052,3829,94
"397","connecticut,ridgefield",5689,10278,278
"398","connecticut,rocky hill",4670,6115,155
"399","connecticut,roxbury",660,937,25
"400","connecticut,salem",1291,1285,47
"401","connecticut,salisbury",502,2023,30
"402","connecticut,scotland",537,406,27
"403","connecticut,seymour",5242,4011,139
"404","connecticut,sharon",510,1019,26
"405","connecticut,shelton",12747,10837,308
"406","connecticut,sherman",1076,1234,26
"407","connecticut,simsbury",5575,10296,303
"408","connecticut,somers",3204,2445,82
"409","connecticut,southbury",6260,6570,160
"410","connecticut,southington",13473,12855,390
"411","connecticut,south windsor",5630,9596,297
"412","connecticut,sprague",882,641,34
"413","connecticut,stafford",3461,2809,152
"414","connecticut,stamford",18242,40437,733
"415","connecticut,sterling",1229,639,40
"416","connecticut,stonington",4240,7453,196
"417","connecticut,stratford",10516,17363,315
"418","connecticut,suffield",4155,4363,168
"419","connecticut,thomaston",2768,1528,78
"420","connecticut,thompson",3005,2050,100
"421","connecticut,tolland",3975,5103,179
"422","connecticut,torrington",9220,7283,321
"423","connecticut,trumbull",9769,11919,314
"424","connecticut,union",307,249,15
"425","connecticut,vernon",5848,9259,293
"426","connecticut,voluntown",918,566,40
"427","connecticut,wallingford",11831,13560,394
"428","connecticut,warren",470,465,10
"429","connecticut,washington",770,1461,37
"430","connecticut,waterbury",14157,21573,377
"431","connecticut,waterford",5124,6917,275
"432","connecticut,watertown",7976,4612,166
"433","connecticut,westbrook",1958,2288,65
"434","connecticut,west hartford",8451,27298,542
"435","connecticut,west haven",8126,14245,234
"436","connecticut,weston",1680,4733,115
"437","connecticut,westport",4222,13048,253
"438","connecticut,wethersfield",6413,9612,252
"439","connecticut,willington",1445,1674,85
"440","connecticut,wilton",3819,7676,220
"441","connecticut,winchester",2799,2304,30
"442","connecticut,windham",2824,5365,159
"443","connecticut,windsor",4090,13183,241
"444","connecticut,windsor locks",3156,3751,114
"445","connecticut,wolcott",6519,3333,150
"446","connecticut,woodbridge",1816,3855,68
"447","connecticut,woodbury",3295,3181,83
"448","connecticut,woodstock",2520,2548,111
"449","delaware,kent",41009,44552,1464
"450","delaware,new castle",88364,195034,4235
"451","delaware,sussex",71230,56682,1440
"452","district-of-columbia,ward 1",1725,39041,915
"453","district-of-columbia,ward 2",2918,29078,885
"454","district-of-columbia,ward 3",3705,39397,1129
"455","district-of-columbia,ward 4",1913,42489,894
"456","district-of-columbia,ward 5",1769,43320,1018
"457","district-of-columbia,ward 6",4337,56719,1862
"458","district-of-columbia,ward 798.6% in",1116,35861,859
"459","district-of-columbia,ward 8",1085,30897,876
"460","florida,alachua",50972,89704,1928
"461","florida,baker",11911,2037,111
"462","florida,bay",66097,25614,1313
"463","florida,bradford",10334,3160,138
"464","florida,brevard",207883,148549,4332
"465","florida,broward",333409,618752,5511
"466","florida,calhoun",5274,1209,43
"467","florida,charlotte",73243,42273,824
"468","florida,citrus",65352,27092,764
"469","florida,clay",84480,38317,1608
"470","florida,collier",128950,77621,1247
"471","florida,columbia",23836,8914,292
"472","florida,miami-dade",532833,617864,6119
"473","florida,desoto",8313,4259,87
"474","florida,dixie",6759,1365,43
"475","florida,duval",233762,252556,6502
"476","florida,escambia",96674,70929,2769
"477","florida,flagler",43043,28161,512
"478","florida,franklin",4675,2120,54
"479","florida,gadsden",7465,16153,144
"480","florida,gilchrist",7895,1700,90
"481","florida,glades",3782,1385,26
"482","florida,gulf",6113,1985,65
"483","florida,hamilton",3815,1963,52
"484","florida,hardee",6122,2298,73
"485","florida,hendry",7906,4929,105
"486","florida,hernando",70412,37519,991
"487","florida,highlands",34873,16938,359
"488","florida,hillsborough",327398,376367,8298
"489","florida,holmes",8080,924,64
"490","florida,indian river",58872,37844,768
"491","florida,jackson",15488,6766,165
"492","florida,jefferson",4479,3897,75
"493","florida,lafayette",3128,510,20
"494","florida,lake",125859,83505,1950
"495","florida,lee",233247,157695,2957
"496","florida,leon",57453,103517,1959
"497","florida,levy",16749,6205,191
"498","florida,liberty",2846,694,21
"499","florida,madison",5576,3747,57
"500","florida,manatee",124987,90166,1805
"501","florida,marion",127826,74858,1692
"502","florida,martin",61168,36893,665
"503","florida,monroe",25693,21881,455
"504","florida,nassau",42566,15564,681
"505","florida,okaloosa",79798,34248,2327
"506","florida,okeechobee",11470,4390,94
"507","florida,orange",245398,395014,6991
"508","florida,osceola",73480,97297,1659
"509","florida,palm beach",334711,433572,4875
"510","florida,pasco",179621,119073,3276
"511","florida,pinellas",276209,277450,6056
"512","florida,polk",194586,145049,3621
"513","florida,putnam",25514,10527,332
"514","florida,st. johns",110946,63850,1826
"515","florida,st. lucie",86831,84137,1201
"516","florida,santa rosa",77385,27612,1931
"517","florida,sarasota",148370,120110,2095
"518","florida,seminole",125241,132528,3046
"519","florida,sumter",62761,29341,383
"520","florida,suwannee",16410,4485,187
"521","florida,taylor",7751,2299,77
"522","florida,union",5133,1053,59
"523","florida,volusia",173821,130575,3043
"524","florida,wakulla",12874,5351,179
"525","florida,walton",32947,10338,426
"526","florida,washington",9876,2347,112
"527","georgia,appling",6570,1784,36
"528","georgia,atkinson",2300,825,30
"529","georgia,bacon",4017,625,25
"530","georgia,baker",897,652,6
"531","georgia,baldwin",8903,9140,218
"532","georgia,banks",7795,932,78
"533","georgia,barrow",26804,10453,689
"534","georgia,bartow",37672,12091,723
"535","georgia,ben hill",4111,2393,60
"536","georgia,berrien",6419,1269,56
"537","georgia,bibb",26559,43408,796
"538","georgia,bleckley",4329,1312,69
"539","georgia,brantley",6993,700,56
"540","georgia,brooks",4261,2791,49
"541","georgia,bryan",14240,6738,371
"542","georgia,bulloch",18387,11248,474
"543","georgia,burke",5400,5208,77
"544","georgia,butts",8406,3274,96
"545","georgia,calhoun",923,1263,12
"546","georgia,camden",15249,7967,482
"547","georgia,candler",3133,1269,29
"548","georgia,carroll",37476,16236,790
"549","georgia,catoosa",25167,6932,527
"550","georgia,charlton",3419,1105,44
"551","georgia,chatham",53232,78247,2005
"552","georgia,chattahoochee",880,667,35
"553","georgia,chattooga",8064,1854,135
"554","georgia,cherokee",99585,42779,2495
"555","georgia,clarke",14450,36055,916
"556","georgia,clay",637,791,8
"557","georgia,clayton",15811,95466,1114
"558","georgia,clinch",2105,744,13
"559","georgia,cobb",165436,221847,6739
"560","georgia,coffee",10578,4511,125
"561","georgia,colquitt",11777,4190,120
"562","georgia,columbia",50013,29232,1375
"563","georgia,cook",4900,2059,78
"564","georgia,coweta",51501,24210,1134
"565","georgia,crawford",4428,1615,59
"566","georgia,crisp",4985,2982,69
"567","georgia,dade",6066,1261,120
"568","georgia,dawson",13398,2486,200
"569","georgia,decatur",6755,4782,91
"570","georgia,dekalb",58377,308162,4338
"571","georgia,dodge",5843,2172,57
"572","georgia,dooly",2159,1911,36
"573","georgia,dougherty",10441,24568,281
"574","georgia,douglas",25454,42814,871
"575","georgia,early",2710,2450,28
"576","georgia,echols",1256,167,19
"577","georgia,effingham",23361,7718,500
"578","georgia,elbert",6226,2879,71
"579","georgia,emanuel",6553,2886,68
"580","georgia,evans",2888,1324,36
"581","georgia,fannin",12169,2570,110
"582","georgia,fayette",37956,33062,994
"583","georgia,floyd",28906,11917,542
"584","georgia,forsyth",85123,42208,2046
"585","georgia,franklin",9069,1593,105
"586","georgia,fulton",137247,380212,6472
"587","georgia,gilmer",13429,2932,166
"588","georgia,glascock",1402,155,8
"589","georgia,glynn",25617,15882,495
"590","georgia,gordon",19405,4384,255
"591","georgia,grady",7034,3619,54
"592","georgia,greene",7066,4087,94
"593","georgia,gwinnett",166400,241994,5956
"594","georgia,habersham",16637,3562,243
"595","georgia,hall",64183,25033,1386
"596","georgia,hancock",1154,2976,23
"597","georgia,haralson",12330,1791,127
"598","georgia,harris",14319,5457,226
"599","georgia,hart",9465,3157,112
"600","georgia,heard",4519,824,51
"601","georgia,henry",48259,73443,1314
"602","georgia,houston",41540,32239,1093
"603","georgia,irwin",3134,1008,26
"604","georgia,jackson",29502,7642,541
"605","georgia,jasper",5822,1761,64
"606","georgia,jeff davis",4695,1028,51
"607","georgia,jefferson",3537,4058,44
"608","georgia,jenkins",2161,1266,28
"609","georgia,johnson",2850,1222,28
"610","georgia,jones",9940,4882,118
"611","georgia,lamar",6331,2620,94
"612","georgia,lanier",2509,1019,48
"613","georgia,laurens",14493,8074,165
"614","georgia,lee",12007,4558,154
"615","georgia,liberty",7959,13104,331
"616","georgia,lincoln",3173,1432,36
"617","georgia,long",3527,2035,98
"618","georgia,lowndes",25692,20116,567
"619","georgia,lumpkin",12163,3126,256
"620","georgia,mcduffie",6169,4168,119
"621","georgia,mcintosh",4016,2612,68
"622","georgia,macon",1783,2858,22
"623","georgia,madison",11326,3411,208
"624","georgia,marion",2275,1312,39
"625","georgia,meriwether",6524,4287,69
"626","georgia,miller",2066,748,20
"627","georgia,mitchell",4935,3993,35
"628","georgia,monroe",11057,4385,150
"629","georgia,montgomery",2960,980,28
"630","georgia,morgan",8231,3353,126
"631","georgia,murray",12944,2301,150
"632","georgia,muscogee",30107,49446,975
"633","georgia,newton",23869,29789,605
"634","georgia,oconee",16595,8162,436
"635","georgia,oglethorpe",5592,2439,107
"636","georgia,paulding",54517,29695,1205
"637","georgia,peach",6506,5922,126
"638","georgia,pickens",14110,2824,238
"639","georgia,pierce",7898,1100,50
"640","georgia,pike",9127,1505,89
"641","georgia,polk",13587,3657,155
"642","georgia,pulaski",2815,1230,36
"643","georgia,putnam",8291,3448,118
"644","georgia,quitman",604,497,5
"645","georgia,rabun",7474,1984,116
"646","georgia,randolph",1390,1671,12
"647","georgia,richmond",26780,59119,1178
"648","georgia,rockdale",13014,31237,448
"649","georgia,schley",1800,462,13
"650","georgia,screven",3915,2661,53
"651","georgia,seminole",2613,1256,19
"652","georgia,spalding",18104,11828,287
"653","georgia,stephens",9367,2386,132
"654","georgia,stewart",801,1182,7
"655","georgia,sumter",5733,6314,103
"656","georgia,talbot",1392,2114,18
"657","georgia,taliaferro",360,561,7
"658","georgia,tattnall",6054,2062,71
"659","georgia,taylor",2420,1388,34
"660","georgia,telfair",2825,1488,22
"661","georgia,terrell",2004,2376,36
"662","georgia,thomas",12969,8708,200
"663","georgia,tift",10784,5318,178
"664","georgia,toombs",7873,2938,103
"665","georgia,towns",6384,1550,45
"666","georgia,treutlen",2101,952,24
"667","georgia,troup",18142,11577,338
"668","georgia,turner",2349,1409,33
"669","georgia,twiggs",2370,2044,30
"670","georgia,union",12650,2800,112
"671","georgia,upson",8606,4203,98
"672","georgia,walker",23173,5770,431
"673","georgia,walton",37839,12683,576
"674","georgia,ware",9903,4169,117
"675","georgia,warren",1166,1468,16
"676","georgia,washington",4668,4743,69
"677","georgia,wayne",9987,2688,107
"678","georgia,webster",748,640,3
"679","georgia,wheeler",1583,689,13
"680","georgia,white",12222,2411,198
"681","georgia,whitfield",25644,10680,442
"682","georgia,wilcox",2402,861,16
"683","georgia,wilkes",2823,2160,48
"684","georgia,wilkinson",2665,2074,31
"685","georgia,worth",6830,2395,60
"686","idaho,ada",130699,120539,8151
"687","idaho,adams",1941,591,54
"688","idaho,bannock",23331,14682,1758
"689","idaho,bear lake",2914,350,51
"690","idaho,benewah",3878,977,118
"691","idaho,bingham",15295,4124,675
"692","idaho,blaine",4032,8919,338
"693","idaho,boise",3485,1204,131
"694","idaho,bonner",18369,8310,673
"695","idaho,bonneville",37805,14254,1936
"696","idaho,boundary",4937,1220,156
"697","idaho,butte",1202,188,25
"698","idaho,camas",507,149,98
"699","idaho,canyon",61759,25881,2798
"700","idaho,caribou",2906,431,79
"701","idaho,cassia",7907,1464,272
"702","idaho,clark",264,41,6
"703","idaho,clearwater",3453,877,89
"704","idaho,custer",2089,603,47
"705","idaho,elmore",7246,2601,358
"706","idaho,franklin",5845,657,162
"707","idaho,fremont",5548,998,173
"708","idaho,gem",7951,1803,204
"709","idaho,gooding",4659,1256,135
"710","idaho,idaho county",7826,1561,215
"711","idaho,jefferson",12099,1661,413
"712","idaho,jerome",5734,1893,185
"713","idaho,kootenai",62837,24312,2729
"714","idaho,latah99.9% in",9472,10236,862
"715","idaho,lemhi",3592,1032,114
"716","idaho,lewis",1489,349,32
"717","idaho,lincoln",1469,414,57
"718","idaho,madison",13559,2666,887
"719","idaho,minidoka",6265,1550,178
"720","idaho,nez perce",13738,6686,543
"721","idaho,oneida",2148,249,54
"722","idaho,owyhee",3819,816,107
"723","idaho,payette",8862,2161,270
"724","idaho,power",2116,865,105
"725","idaho,shoshone",4216,1693,140
"726","idaho,teton",2858,3318,171
